鄉鎮市區,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_車位,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,年份(+1911),月份,建築完成年,建築完成月,成交時屋齡, 總價.元. ,單價.元.坪,土地移轉總面積.坪,建物移轉總面積.坪,車位移轉總面積.坪,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
大安區,1,2,0,五層,17,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,3,2,1,有,有,NA,2012,6,1985,5,27,18680000,611566.9421,5.865448605,30.54631254,0,305071,2768778,121.54569,25.026
內湖區,1,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,7,1980,11,32,14000000,444538.843,9.803980882,31.49313328,0,309114,2773443,121.58595,25.06796
中山區,1,1,0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,0,1,有,有,NA,2012,7,1979,12,33,4050000,347206.6116,1.908766411,11.66434751,0,303544,2773080,121.53073,25.0649
中山區,1,1,0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,7,1997,5,15,5960000,527834.7107,3.024986388,11.29227418,0,304419,2772026,121.53936,25.05535
萬華區,1,1,0,六層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,2,1,1,有,有,NA,2012,6,1998,8,14,16260000,367560.3306,10.11252949,44.23740093,0,300532,2768133,121.50069,25.02034
士林區,1,1,0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2012,7,1979,8,33,19000000,597960.3306,9.437957529,31.77445701,0,302601,2774703,121.52144,25.07958
大安區,1,1,0,十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,5,1989,2,23,38180000,798717.3554,3.155060802,47.8008349,0,304147,2768413,121.53652,25.02274
松山區,9,1,0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,1989,2,23,18800000,552472.7273,4.0444068,34.02807187,0,306275,2771259,121.55772,25.04836
士林區,2,1,0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,2,有,無,NA,2012,7,1977,8,35,13300000,565709.0909,4.843003206,23.5101942,0,303785,2779657,121.53337,25.12426
內湖區,1,6,6,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0,0,0,無,有,NA,2012,7,2012,7,0,225833092,558846.281,110.0822796,410.4846028,27.31562708,308414,2772315,121.57896,25.05781
